Splitting data in Training and Test Data...
Splitting Done!
Training Deep Belief Network...
[START] Pre-training step:
>> Epoch 1 finished 	RBM Reconstruction error 18.131321
>> Epoch 159 finished 	RBM Reconstruction error 0.251595
>> Epoch 160 finished 	RBM Reconstruction error 0.250888
>> Epoch 161 finished 	RBM Reconstruction error 0.249357
>> Epoch 162 finished 	RBM Reconstruction error 0.245325
>> Epoch 163 finished 	RBM Reconstruction error 0.242025
>> Epoch 164 finished 	RBM Reconstruction error 0.242111
>> Epoch 165 finished 	RBM Reconstruction error 0.246885
>> Epoch 166 finished 	RBM Reconstruction error 0.250371
>> Epoch 167 finished 	RBM Reconstruction error 0.243219
>> Epoch 168 finished 	RBM Reconstruction error 0.244386
>> Epoch 169 finished 	RBM Reconstruction error 0.245340
>> Epoch 170 finished 	RBM Reconstruction error 0.247685
>> Epoch 171 finished 	RBM Reconstruction error 0.246375
>> Epoch 172 finished 	RBM Reconstruction error 0.239756
>> Epoch 173 finished 	RBM Reconstruction error 0.233515
>> Epoch 174 finished 	RBM Reconstruction error 0.237881
>> Epoch 175 finished 	RBM Reconstruction error 0.238153
>> Epoch 176 finished 	RBM Reconstruction error 0.233371
>> Epoch 177 finished 	RBM Reconstruction error 0.234487
>> Epoch 178 finished 	RBM Reconstruction error 0.237396
>> Epoch 179 finished 	RBM Reconstruction error 0.237960
>> Epoch 180 finished 	RBM Reconstruction error 0.233291
>> Epoch 181 finished 	RBM Reconstruction error 0.235638
>> Epoch 182 finished 	RBM Reconstruction error 0.229957
>> Epoch 183 finished 	RBM Reconstruction error 0.230143
>> Epoch 184 finished 	RBM Reconstruction error 0.235851
>> Epoch 185 finished 	RBM Reconstruction error 0.230773
>> Epoch 186 finished 	RBM Reconstruction error 0.226818
>> Epoch 187 finished 	RBM Reconstruction error 0.222073
>> Epoch 188 finished 	RBM Reconstruction error 0.228404
>> Epoch 189 finished 	RBM Reconstruction error 0.227392
>> Epoch 190 finished 	RBM Reconstruction error 0.222535
>> Epoch 191 finished 	RBM Reconstruction error 0.220981
>> Epoch 192 finished 	RBM Reconstruction error 0.220395
>> Epoch 193 finished 	RBM Reconstruction error 0.216833
>> Epoch 194 finished 	RBM Reconstruction error 0.223671
>> Epoch 195 finished 	RBM Reconstruction error 0.222998
>> Epoch 196 finished 	RBM Reconstruction error 0.230180
>> Epoch 197 finished 	RBM Reconstruction error 0.230107
>> Epoch 198 finished 	RBM Reconstruction error 0.224647
>> Epoch 199 finished 	RBM Reconstruction error 0.222603
>> Epoch 200 finished 	RBM Reconstruction error 0.220756
[END] Pre-training step
Training DBN Done!
Training Multi-Layer Perceptron...
Shape after Concatenation = (18012, 90)
Training MLP Done!
Testing MLP...
Score = 0.9890073284477016
